2998_74478,2994_88778,2991_03079,2987_17379,2983_3168,2979_45981,2975_60281,2971_74582,2967_88882,2964_03183,2960_17484,2956_31784,2952_46085,2948_60385,2944_74686,2940_88986,2937_03287,2933_17588,2929_31888,2925_46189,2921_60489,2917_7479,2913_89091,2910_03391,2906_17692,2902_31992,2898_46293,2894_60594,2890_74894,2886_89195,2883_03495,2879_17796,2875_32096,2871_46397,2867_60698,2863_74998,2859_89299,2856_03599,2852_179,2848_32201,2844_46501,2840_60802,2836_75102,2832_89403,2829_03703,2825_18004,2821_32305,2817_46605,2813_60906,2809_75206,2805_89507,2802_03808,2798_18108,2794_32409,2790_46709,2786_6101,2782_7531,2778_89611,2775_03912,2771_18212,2767_32513,2763_46813,2759_61114,2755_75415,2751_89715,2748_04016,2744_18316,2740_32617,2736_46917,2732_61218,2728_75519,2724_89819,2721_0412,2717_1842,2713_32721,2709_47022,2705_61322,2701_75623,Class
0.03245,0.0388,0.0454,0.05216,0.05905,0.06604,0.07325,0.08102,0.08961,0.09908,0.10925,0.11987,0.13053,0.14065,0.14972,0.15743,0.16349,0.16775,0.17008,0.1704,0.16868,0.16498,0.15952,0.15267,0.14465,0.13583,0.12669,0.11764,0.10901,0.10108,0.094,0.08764,0.08154,0.07547,0.06942,0.06319,0.05668,0.05001,0.04331,0.03668,0.03025,0.0242,0.01872,0.01395,0.01001,0.00701,0.00485,0.00346,0.0027,0.0023,0.00202,0.00178,0.00156,0.00125,0.00087,0.00061,0.00053,0.00048,0.00044,0.00045,0.00053,0.00063,0.00085,0.00125,0.00171,0.00214,0.00256,0.00306,0.00359,0.00406,0.00438,0.00447,0.0044,0.00429,0.00425,0.00431,0.00441,0.00445,P
0.04402,0.05223,0.06018,0.0676,0.07432,0.08061,0.08727,0.09496,0.10399,0.1143,0.12552,0.13734,0.14931,0.16095,0.17177,0.18102,0.18796,0.19245,0.19442,0.1936,0.18981,0.18317,0.17386,0.16252,0.15023,0.13816,0.12707,0.11718,0.10857,0.10117,0.09465,0.08894,0.084,0.07928,0.07408,0.06805,0.06134,0.05429,0.04695,0.03958,0.03263,0.02607,0.01981,0.01449,0.01055,0.00784,0.00617,0.00546,0.00545,0.00569,0.00597,0.00653,0.00739,0.00844,0.00974,0.01127,0.01275,0.01393,0.01466,0.01499,0.01488,0.01426,0.01357,0.0132,0.01306,0.01306,0.01331,0.0139,0.01448,0.01487,0.0154,0.01612,0.01672,0.0171,0.01711,0.01662,0.01565,0.01459,P
0.02999,0.03445,0.03922,0.04419,0.04928,0.05433,0.05919,0.06386,0.06834,0.07271,0.07725,0.08241,0.08848,0.09548,0.10302,0.1105,0.11728,0.12269,0.12608,0.12704,0.12528,0.12096,0.1146,0.1069,0.09869,0.09076,0.08375,0.07808,0.07369,0.07042,0.06797,0.06581,0.06335,0.06031,0.05655,0.05206,0.04677,0.04083,0.03469,0.0287,0.02328,0.01879,0.01532,0.01276,0.01099,0.00979,0.00897,0.00836,0.00782,0.00712,0.00621,0.00526,0.00445,0.00374,0.00313,0.00268,0.00239,0.00221,0.00226,0.00254,0.00289,0.00309,0.00307,0.00294,0.00281,0.00276,0.00285,0.00304,0.00324,0.00346,0.00379,0.00429,0.00485,0.00529,0.00542,0.00518,0.00473,0.00424,P
0.03711,0.04376,0.05101,0.05846,0.06566,0.07242,0.07886,0.08534,0.09226,0.09986,0.10839,0.11784,0.12783,0.13776,0.14678,0.15418,0.15948,0.16218,0.16215,0.15968,0.15507,0.14836,0.13963,0.12959,0.11929,0.10959,0.10103,0.09386,0.0882,0.08365,0.07963,0.07581,0.0716,0.0666,0.06083,0.05464,0.04851,0.04272,0.03739,0.03247,0.02785,0.0238,0.02067,0.01847,0.01695,0.01588,0.01507,0.01432,0.01361,0.01292,0.01197,0.01053,0.00879,0.00732,0.00633,0.0058,0.00576,0.00622,0.00699,0.00788,0.00896,0.01021,0.01142,0.0124,0.01315,0.01382,0.01438,0.01473,0.01478,0.01429,0.01334,0.0124,0.01166,0.01127,0.01125,0.01127,0.01105,0.01043,P
0.03606,0.04459,0.05296,0.06115,0.06928,0.07732,0.08497,0.09194,0.09858,0.10559,0.11366,0.1233,0.13458,0.14704,0.15963,0.17087,0.17947,0.18462,0.18586,0.18269,0.17513,0.16407,0.15104,0.13743,0.12437,0.11303,0.10427,0.09801,0.09348,0.0898,0.08625,0.08226,0.07752,0.07203,0.06567,0.05836,0.05045,0.04252,0.03522,0.02922,0.02468,0.02138,0.01875,0.01663,0.01529,0.01465,0.01438,0.01419,0.01338,0.01189,0.01027,0.0091,0.00842,0.00771,0.00668,0.00564,0.00476,0.00451,0.00545,0.00747,0.01004,0.01233,0.01408,0.01553,0.01669,0.01735,0.01741,0.01676,0.01565,0.01461,0.01391,0.01347,0.01324,0.01319,0.01313,0.01282,0.01244,0.01195,P
0.03711,0.04376,0.05101,0.05846,0.06566,0.07242,0.07886,0.08534,0.09226,0.09986,0.10839,0.11784,0.12783,0.13776,0.14678,0.15418,0.15948,0.16218,0.16215,0.15968,0.15507,0.14836,0.13963,0.12959,0.11929,0.10959,0.10103,0.09386,0.0882,0.08365,0.07963,0.07581,0.0716,0.0666,0.06083,0.05464,0.04851,0.04272,0.03739,0.03247,0.02785,0.0238,0.02067,0.01847,0.01695,0.01588,0.01507,0.01432,0.01361,0.01292,0.01197,0.01053,0.00879,0.00732,0.00633,0.0058,0.00576,0.00622,0.00699,0.00788,0.00896,0.01021,0.01142,0.0124,0.01315,0.01382,0.01438,0.01473,0.01478,0.01429,0.01334,0.0124,0.01166,0.01127,0.01125,0.01127,0.01105,0.01043,P
0.04394,0.05048,0.05728,0.06439,0.0716,0.07856,0.08505,0.09105,0.09695,0.10323,0.1103,0.11872,0.12853,0.13906,0.14992,0.16075,0.17065,0.17812,0.18175,0.18088,0.17573,0.16695,0.15564,0.14329,0.13113,0.11982,0.10986,0.10186,0.09612,0.0924,0.08975,0.08714,0.08392,0.07965,0.07434,0.06813,0.06108,0.05348,0.04561,0.03776,0.03062,0.0246,0.0197,0.01573,0.01215,0.0088,0.00603,0.00391,0.00256,0.00212,0.00248,0.00324,0.00398,0.00477,0.00579,0.00687,0.00808,0.00939,0.01034,0.01065,0.01056,0.01012,0.00948,0.00885,0.00837,0.00796,0.0075,0.00726,0.00742,0.00802,0.00934,0.01113,0.01283,0.01396,0.01438,0.01392,0.0126,0.0106,P
0.04745,0.05234,0.05712,0.06179,0.06642,0.07098,0.07532,0.07925,0.08299,0.08693,0.09146,0.09685,0.10317,0.11013,0.11716,0.12342,0.12817,0.13097,0.13154,0.12962,0.12521,0.1188,0.11128,0.10341,0.09585,0.08924,0.08408,0.08032,0.07752,0.07519,0.07293,0.0704,0.06745,0.06405,0.06015,0.05571,0.05091,0.04609,0.04162,0.03786,0.03493,0.03267,0.03078,0.02918,0.028,0.02721,0.02662,0.02606,0.02515,0.02385,0.02247,0.02134,0.02046,0.01953,0.0184,0.01725,0.01619,0.01553,0.01561,0.01638,0.01756,0.01869,0.0196,0.02042,0.02115,0.02164,0.0218,0.02154,0.02099,0.02046,0.0201,0.01987,0.01975,0.01972,0.01967,0.01947,0.01923,0.0189,P
0.02918,0.03836,0.04772,0.05662,0.06529,0.0741,0.08258,0.09028,0.09747,0.10493,0.11356,0.12405,0.13696,0.1522,0.16823,0.1833,0.19598,0.20432,0.20642,0.20156,0.19033,0.17445,0.15614,0.13803,0.12198,0.10881,0.09884,0.09206,0.08776,0.08443,0.08095,0.07706,0.07221,0.06615,0.05928,0.05166,0.04291,0.03341,0.02483,0.01857,0.01467,0.01249,0.01169,0.01175,0.01208,0.01268,0.01353,0.01382,0.01291,0.01102,0.00908,0.00767,0.00669,0.00581,0.00459,0.00283,0.00147,0.00131,0.00254,0.00499,0.00813,0.01132,0.01389,0.01563,0.01655,0.01638,0.01487,0.01264,0.01053,0.00885,0.00794,0.00804,0.00847,0.00851,0.00801,0.00744,0.00713,0.00701,P
0.04156,0.04781,0.05461,0.0625,0.07115,0.07977,0.08775,0.09489,0.10108,0.10684,0.11364,0.12246,0.13346,0.14646,0.16076,0.17519,0.18814,0.19784,0.20261,0.2014,0.19425,0.18264,0.16828,0.15263,0.13729,0.12346,0.11154,0.10226,0.09623,0.09296,0.09101,0.08889,0.08582,0.08163,0.07577,0.06832,0.0601,0.05137,0.04221,0.0334,0.02589,0.01995,0.01526,0.01152,0.00875,0.00645,0.00418,0.00257,0.00199,0.00203,0.00264,0.00402,0.00585,0.00746,0.00867,0.00981,0.01072,0.01121,0.01168,0.01248,0.01306,0.01309,0.01281,0.01237,0.01138,0.00989,0.00882,0.00857,0.00895,0.01008,0.01193,0.01412,0.01589,0.01697,0.01743,0.01719,0.01595,0.01388,P
0.03649,0.04192,0.04743,0.05271,0.05771,0.06248,0.06701,0.07151,0.07633,0.08181,0.08802,0.09484,0.10217,0.10983,0.11746,0.12474,0.13113,0.13583,0.1381,0.1376,0.13431,0.12847,0.12076,0.11214,0.10333,0.09497,0.08769,0.08173,0.07704,0.07342,0.0706,0.06816,0.06544,0.06208,0.05814,0.05365,0.04854,0.0429,0.03712,0.03149,0.02606,0.02119,0.01718,0.01377,0.01069,0.008,0.00585,0.00425,0.00316,0.00277,0.00293,0.00316,0.00339,0.00378,0.0044,0.00529,0.00641,0.00762,0.00852,0.00876,0.00848,0.00805,0.00755,0.00707,0.00687,0.00695,0.00697,0.00683,0.00682,0.00721,0.00791,0.00889,0.01001,0.01091,0.01112,0.01061,0.00949,0.00806,P
0.03838,0.04612,0.05407,0.06211,0.07009,0.07765,0.08471,0.09158,0.09845,0.10583,0.11431,0.12421,0.1353,0.14681,0.15791,0.1675,0.1744,0.17812,0.1786,0.17583,0.16978,0.16088,0.14991,0.13774,0.12555,0.11461,0.10571,0.09887,0.09362,0.08946,0.08573,0.08169,0.07714,0.07188,0.06562,0.0585,0.05118,0.04432,0.03806,0.0324,0.02768,0.02389,0.02084,0.01852,0.01701,0.01625,0.01578,0.01522,0.01454,0.01352,0.01216,0.01075,0.00946,0.00828,0.00729,0.00652,0.00612,0.00623,0.00707,0.00869,0.01057,0.01232,0.0138,0.01495,0.01584,0.01657,0.01704,0.01705,0.01649,0.01568,0.01482,0.01393,0.01329,0.01309,0.01317,0.01325,0.0129,0.01224,P
0.03462,0.04328,0.05198,0.0602,0.06813,0.0761,0.08374,0.09071,0.0972,0.10384,0.11132,0.1202,0.13091,0.14337,0.1564,0.16859,0.17884,0.18561,0.18741,0.18367,0.17485,0.16232,0.14781,0.13338,0.1205,0.10982,0.10158,0.09578,0.09185,0.08861,0.08519,0.08138,0.07674,0.07109,0.06472,0.05769,0.04969,0.04103,0.03307,0.02687,0.02246,0.01933,0.01724,0.01582,0.0147,0.01393,0.01362,0.01314,0.012,0.01036,0.00892,0.00802,0.00749,0.00696,0.00603,0.00454,0.00326,0.00292,0.00372,0.00561,0.00819,0.01097,0.0134,0.0153,0.01662,0.01706,0.0164,0.01508,0.01375,0.01267,0.01212,0.01231,0.01267,0.01267,0.01217,0.01155,0.01107,0.01064,P
0.04449,0.05167,0.05896,0.06594,0.07256,0.07888,0.08489,0.09085,0.09727,0.10458,0.11286,0.12198,0.13179,0.14206,0.15229,0.16206,0.17064,0.17696,0.18004,0.1794,0.17502,0.16723,0.15694,0.14544,0.13369,0.12255,0.11287,0.10497,0.09878,0.09404,0.09037,0.08723,0.08371,0.07935,0.07422,0.06836,0.06167,0.05428,0.04671,0.03934,0.03227,0.02594,0.02078,0.01643,0.01254,0.0092,0.0066,0.00473,0.00354,0.00326,0.00368,0.00416,0.00458,0.00518,0.00604,0.00721,0.00866,0.0102,0.01131,0.01155,0.0111,0.01046,0.00974,0.00907,0.00879,0.00888,0.0089,0.00871,0.0087,0.00923,0.0102,0.01154,0.01308,0.01434,0.01469,0.01408,0.01266,0.01083,P
0.04571,0.05344,0.06088,0.06781,0.0741,0.07998,0.08611,0.09308,0.10113,0.11022,0.12003,0.13029,0.14065,0.15068,0.15999,0.16795,0.17393,0.17781,0.17954,0.17889,0.17571,0.17011,0.16222,0.15259,0.14213,0.13181,0.12227,0.11369,0.10615,0.09959,0.09372,0.08849,0.08387,0.07939,0.07446,0.06881,0.06254,0.05595,0.04907,0.04209,0.03541,0.02899,0.02277,0.0173,0.013,0.00976,0.00745,0.00602,0.00529,0.00489,0.00464,0.00475,0.00524,0.006,0.00707,0.00842,0.00977,0.01087,0.01158,0.01192,0.01184,0.0113,0.01068,0.01033,0.01018,0.01015,0.01036,0.01088,0.01141,0.0118,0.01232,0.013,0.01356,0.01391,0.01393,0.0135,0.01263,0.01167,P
0.04195,0.04826,0.05507,0.0629,0.07144,0.07992,0.08778,0.09483,0.10095,0.10665,0.11331,0.12188,0.1325,0.14498,0.1587,0.17251,0.18491,0.1942,0.19879,0.19767,0.19091,0.17989,0.16625,0.15136,0.13675,0.12354,0.11214,0.10322,0.09737,0.09412,0.0921,0.08991,0.0868,0.0826,0.0768,0.06947,0.06138,0.0528,0.04379,0.03509,0.02762,0.02161,0.01676,0.01278,0.00969,0.00703,0.00441,0.00245,0.00152,0.00127,0.00166,0.00287,0.00461,0.00619,0.00744,0.00862,0.00957,0.0101,0.01059,0.01136,0.01189,0.01188,0.01156,0.01107,0.01008,0.00864,0.00761,0.00739,0.0078,0.00895,0.01078,0.01293,0.01467,0.01572,0.01616,0.01591,0.01468,0.01265,P
0.03778,0.04486,0.05213,0.05949,0.06677,0.07367,0.08013,0.08639,0.09266,0.09939,0.10711,0.11611,0.12618,0.13664,0.14672,0.15542,0.16169,0.16506,0.1655,0.16298,0.15748,0.1494,0.13943,0.12838,0.1173,0.10735,0.09924,0.09301,0.0882,0.08438,0.08095,0.07723,0.07305,0.06823,0.06248,0.05596,0.04925,0.04295,0.0372,0.03198,0.02761,0.02408,0.02122,0.01902,0.01754,0.01674,0.01621,0.01559,0.01485,0.01381,0.01245,0.01104,0.00972,0.0085,0.00745,0.00659,0.00608,0.00603,0.00668,0.00805,0.00968,0.01122,0.01254,0.01358,0.01441,0.0151,0.01556,0.0156,0.01512,0.01441,0.01365,0.01284,0.01226,0.01208,0.01215,0.01221,0.01188,0.01125,P
0.04395,0.05138,0.05894,0.06619,0.07305,0.0796,0.08584,0.09204,0.09871,0.10632,0.11495,0.12445,0.13469,0.1454,0.15608,0.16628,0.17525,0.18186,0.18508,0.18443,0.17988,0.17177,0.16105,0.14907,0.13684,0.12525,0.11518,0.10698,0.10056,0.09567,0.09191,0.08869,0.08508,0.0806,0.07533,0.06929,0.06239,0.05476,0.04696,0.03936,0.03208,0.02558,0.02029,0.01588,0.01194,0.00858,0.00601,0.0042,0.0031,0.00294,0.00349,0.00409,0.0046,0.00528,0.00621,0.00745,0.00896,0.01056,0.01171,0.01195,0.01147,0.01081,0.01007,0.00938,0.00909,0.00919,0.00921,0.00901,0.009,0.00954,0.01054,0.01192,0.01353,0.01483,0.0152,0.01456,0.01309,0.01119,P
0.02675,0.03364,0.04076,0.04806,0.05564,0.06372,0.07256,0.08234,0.09321,0.10503,0.11739,0.12995,0.14226,0.15368,0.16365,0.17177,0.17792,0.1821,0.1843,0.18449,0.18264,0.17889,0.17355,0.16682,0.15885,0.14985,0.14004,0.1297,0.11924,0.10925,0.10005,0.09154,0.08363,0.07622,0.06916,0.06231,0.05555,0.04883,0.0421,0.03534,0.02881,0.0227,0.01708,0.01203,0.00774,0.00443,0.00223,0.00096,0.00047,0.00051,0.00074,0.001,0.0013,0.00169,0.00202,0.00212,0.00211,0.00205,0.00193,0.00186,0.00194,0.0022,0.00253,0.00292,0.0034,0.00394,0.00448,0.00496,0.00536,0.00563,0.00572,0.00567,0.00554,0.00536,0.00517,0.00499,0.00487,0.00483,P
0.03216,0.03862,0.04509,0.05121,0.05711,0.06302,0.06869,0.07385,0.07866,0.08357,0.08908,0.0956,0.10344,0.11254,0.12205,0.13094,0.1384,0.14333,0.14463,0.14189,0.13545,0.12629,0.11569,0.10514,0.0957,0.08786,0.08177,0.07745,0.07449,0.07202,0.06941,0.06649,0.06298,0.05871,0.05391,0.04862,0.04261,0.03613,0.03013,0.0254,0.02197,0.01946,0.01769,0.0164,0.01532,0.01449,0.01399,0.01336,0.01225,0.01077,0.00942,0.00847,0.00778,0.00707,0.00605,0.00459,0.00329,0.00268,0.00295,0.00407,0.00577,0.00769,0.00944,0.01087,0.01191,0.01234,0.01196,0.01107,0.01017,0.00942,0.00904,0.00919,0.00947,0.00947,0.00909,0.00862,0.00824,0.00789,P
0.04264,0.05021,0.0579,0.06528,0.07227,0.07895,0.08531,0.09163,0.09845,0.10622,0.11505,0.12478,0.13527,0.14625,0.1572,0.16766,0.17686,0.18366,0.18697,0.18632,0.18168,0.17338,0.16242,0.15017,0.13767,0.12582,0.11554,0.10719,0.10067,0.09571,0.09191,0.08869,0.08506,0.08055,0.07522,0.06911,0.06213,0.05441,0.0465,0.03882,0.03145,0.02491,0.01961,0.01521,0.0113,0.008,0.0055,0.00378,0.00277,0.00271,0.00337,0.00405,0.00463,0.00536,0.00632,0.00759,0.00914,0.01076,0.01192,0.01216,0.01168,0.011,0.01025,0.00955,0.00927,0.00937,0.0094,0.00919,0.00917,0.00972,0.01072,0.01213,0.01377,0.01509,0.01548,0.01483,0.01333,0.01139,P
0.04155,0.04795,0.05445,0.06067,0.06656,0.07219,0.07754,0.08285,0.08856,0.09504,0.10239,0.11047,0.11917,0.12826,0.13731,0.14596,0.15354,0.15914,0.16184,0.16126,0.15737,0.15046,0.14133,0.13112,0.12069,0.1108,0.10219,0.09516,0.08964,0.08539,0.08209,0.07926,0.07608,0.07215,0.06755,0.06229,0.05629,0.04968,0.0429,0.03629,0.02994,0.02425,0.01958,0.01563,0.01208,0.009,0.00658,0.0048,0.00363,0.00327,0.00356,0.0039,0.00422,0.00472,0.00547,0.00651,0.00782,0.00921,0.01023,0.01048,0.01012,0.00958,0.00896,0.00838,0.00813,0.00822,0.00824,0.00807,0.00806,0.00853,0.00937,0.01055,0.0119,0.01299,0.01328,0.0127,0.01141,0.00976,P
0.04382,0.05177,0.05942,0.06656,0.07302,0.07907,0.08539,0.09259,0.10092,0.11033,0.1205,0.13115,0.1419,0.15233,0.16201,0.17028,0.17651,0.18056,0.18238,0.18173,0.17846,0.17266,0.16451,0.15454,0.14372,0.13305,0.12319,0.11436,0.1066,0.09986,0.09385,0.08852,0.08382,0.07928,0.07428,0.06853,0.06215,0.05543,0.04843,0.04133,0.03455,0.02805,0.02176,0.01628,0.01201,0.00884,0.00665,0.00535,0.00478,0.00451,0.00439,0.00463,0.00522,0.00608,0.00724,0.00866,0.01007,0.01122,0.01195,0.01229,0.0122,0.01164,0.01099,0.01063,0.01047,0.01045,0.01067,0.01121,0.01175,0.01215,0.01267,0.01337,0.01394,0.01431,0.01432,0.01388,0.01299,0.012,P
0.03239,0.04147,0.05059,0.05921,0.06754,0.07592,0.08395,0.09128,0.09811,0.10511,0.113,0.12238,0.13369,0.14687,0.16065,0.17356,0.18442,0.19161,0.19356,0.18966,0.1804,0.16722,0.15197,0.1368,0.12328,0.11209,0.10348,0.09746,0.09343,0.09013,0.08665,0.08276,0.07801,0.07218,0.06561,0.05835,0.05007,0.04111,0.03288,0.02652,0.02207,0.01898,0.017,0.01574,0.01478,0.01418,0.01402,0.01364,0.01253,0.01083,0.0093,0.00833,0.00774,0.00716,0.00618,0.00461,0.00328,0.00294,0.00381,0.00581,0.00852,0.01142,0.01395,0.01591,0.01724,0.01765,0.0169,0.01546,0.01402,0.01286,0.01226,0.01244,0.01283,0.01283,0.01231,0.01167,0.01118,0.01077,P
